"plot";"n";"spp";"DBH_1";"DBH_2"
1;"1.0";"Myrsine umbellata Mart.";12,73239545;13,05070533
1;"2.0";"Allophylus edulis (A.St.-Hil., Cambess. & A.Juss.) Radlk.";8,594366927;8,75352187
1;"3.0";"Myrsine umbellata Mart.";7,002817496;7,671268257
1;"4.0";"Myrsine umbellata Mart.";7,639437268;8,021409132
1;"5.0";"Myrsine umbellata Mart.";6,68450761;NA
1;"6.0";"Eugenia pluriflora DC.";5,252113122;5,729577951
1;"7.0";"Solanum sanctaecatharinae Dunal";6,725986566;7,772564297
1;"8.0";"Podocarpus lambertii Klotzsch ex Endl.";17,44338176;17,50704374
1;"9.0";"Matayba elaeagnoides Radlk.";16,71126902;18,33464944
1;"10.0";"Moquiniastrum polymorphum (Less.) G. Sancho";14,96056465;16,07464925
1;"11.0";"Solanum sanctaecatharinae Dunal";19,8625369;22,0907061
1;"12.0";"Araucaria angustifolia (Bertol.) Kuntze";4,965634224;5,506761031
1;"13.0";"Casearia decandra Jacq.";4,774648293;6,366197724
1;"14.0";"Podocarpus lambertii Klotzsch ex Endl.";7,130141451;7,002817496
1;"15.0";"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman";5,379437077;5,443099054
1;"16.0";"Jacaranda puberula Cham.";9,45380362;9,867606472
1;"17.0";"Calyptranthes concinna DC.";5,411268065;6,047887837
1;"18.0";"Duranta vestita Cham.";5,315775099;5,570423008
1;"19.0";"Jacaranda puberula Cham.";9,230986699;9,835775483
1;"20.0";"Myrcia laruotteana Cambess.";15,96142382;15,88688437
1;"B13";"Lithraea brasiliensis Marchand";19,79887492;23,7777485
1;"22.0";"Lithraea brasiliensis Marchand";16,80676199;17,37971979
1;"23.0";"Duranta vestita Cham.";9,421972631;10,18591636
1;"24.0";"Casearia decandra Jacq.";8,350464166;8,509894406
1;"25.0";"Jacaranda puberula Cham.";10,37690229;11,93662073
1;"26.0";"Ilex theezans Mart. ex Reissek";9,390141642;8,912676813
1;"27.0";"Ocotea pulchella Mart.";26,26056561;28,01126998
1;"28.0";"Casearia decandra Jacq.";8,276057041;NA
1;"29.0";"Podocarpus lambertii Klotzsch ex Endl.";9,071831756;9,230986699
1;"30.0";"Casearia decandra Jacq.";6,68450761;7,957747155
1;"31.0";"Moquiniastrum polymorphum (Less.) G. Sancho";33,76469773;32,45877565
1;"32.0";"Casearia decandra Jacq.";5,825070917;NA
1;"33.0";"Cupania vernalis Cambess.";5,092958179;5,920563883
1;"34.0";"Jacaranda puberula Cham.";5,092958179;7,798592212
1;"35.0";"Maytenus dasyclada Mart.";11,26124415;7,639437268
1;"36.0";"Matayba elaeagnoides Radlk.";6,079718826;6,270704758
1;"37.0";"Matayba elaeagnoides Radlk.";24,82817112;23,07746675
1;"38.0";"Casearia decandra Jacq.";8,244226052;NA
1;"39.0";"Lithraea brasiliensis Marchand";28,17042493;29,60281942
1;"40.0";"Moquiniastrum polymorphum (Less.) G. Sancho";23,23662169;23,23662169
1;"41.0";"Erythroxylum deciduum A.St.-Hil.";24,35070629;26,10141067
1;"42.0";"Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman";5,156620156;5,252113122
1;"43.0";"Jacaranda puberula Cham.";11,4591559;12,41408556
1;"44.0";"Jacaranda puberula Cham.";11,80929678;12,66873347
1;"45.0";"Lithraea brasiliensis Marchand";5,952394872;5,665915974
1;"46.0";"Ocotea pulchella Mart.";28,71155173;29,73014337
1;"A1";"Casearia decandra Jacq.";NA;5,570423008
1;"A2";"Casearia decandra Jacq.";NA;5,092958179
1;"A3";"Cupania vernalis Cambess.";NA;5,220282133
1;"B7";"Casearia decandra Jacq.";NA;NA
1;"B8";"Casearia decandra Jacq.";NA;NA
1;"B9";"Casearia decandra Jacq.";NA;NA
1;"B10";"Casearia decandra Jacq.";NA;NA
1;"B11";"Casearia decandra Jacq.";NA;NA
2;"47.0";"Podocarpus lambertii Klotzsch ex Endl.";7,543944303;7,862254189
2;"48.0";"Jacaranda puberula Cham.";14,96056465;15,78817035
2;"50.0";"Solanum sanctaecatharinae Dunal";5,411268065;6,270704758
2;"51.0";"Eugenia pluriflora DC.";13,05070533;13,68732511
2;"52.0";"Myrsine umbellata Mart.";10,56788822;11,61831085
2;"53.0";"Podocarpus lambertii Klotzsch ex Endl.";25,74660686;27,01468456
2;"54.0";"Calyptranthes concinna DC.";6,175211792;7,066479473
2;"55.0";"Eugenia pluriflora DC.";9,071831756;9,199155711
2;"56.0";"Moquiniastrum polymorphum (Less.) G. Sancho";32,21296048;34,37746771
2;"57.0";"Scutia buxifolia Reissek";9,89943746;10,53605723
2;"58.0";"Calyptranthes concinna DC.";12,16089579;11,09418411
2;"59.0";"Casearia obliqua Spreng.";7,161972439;8,021409132
2;"60.0";"Cupania vernalis Cambess.";26,36107494;30,37085018
2;"61.0";"Podocarpus lambertii Klotzsch ex Endl.";8,371550007;9,262817688
2;"62.0";"Dasyphyllum spinescens (Less.) Cabrera";63,34366735;67,16338598
2;"63.0";"Cupania vernalis Cambess.";21,11601665;22,0668429
2;"64.0";"Podocarpus lambertii Klotzsch ex Endl.";20,53098766;21,8042272
2;"65.0";"Cupania vernalis Cambess.";15,40619849;14,96056465
2;"66.0";"Drimys brasiliensis Miers";7,957747155;7,352958371
2;"67.0";"Myrsine umbellata Mart.";20,37183272;21,23126941
2;"68.0";"Ocotea pulchella Mart.";42,97183463;45,99577855
2;"69.0";"Lithraea brasiliensis Marchand";27,50197417;28,8070447
